x,y,z
650,771,3440
661,756,3373
684,756,3373
708,756,3373
725,749,3341
741,741,3309
650,747,3440
661,732,3373
678,725,3341
701,725,3341
725,725,3341
741,718,3309
779,732,3373
643,715,3406
661,708,3373
678,702,3341
701,702,3341
718,695,3309
741,695,3309
771,702,3341
795,702,3341
637,685,3373
654,678,3341
678,678,3341
701,678,3341
718,672,3309
741,672,3309
771,678,3341
795,678,3341
637,661,3373
654,655,3341
678,655,3341
701,655,3341
718,649,3309
741,649,3309
764,649,3309
787,649,3309
626,650,3440
637,638,3373
648,625,3309
671,625,3309
694,625,3309
718,625,3309
748,631,3341
764,625,3309
787,625,3309
643,620,3406
661,614,3373
678,608,3341
701,608,3341
725,608,3341
741,602,3309
764,602,3309
787,602,3309
643,596,3406
661,590,3373
678,585,3341
701,585,3341
718,579,3309
748,585,3341
771,585,3341
795,585,3341
637,567,3373
661,567,3373
678,561,3341
694,556,3309
725,561,3341
755,567,3373
779,567,3373
802,567,3373
656,559,3475
667,548,3406
684,543,3373
708,543,3373
725,538,3341
755,543,3373
771,538,3341
787,533,3309
802,528,3277
825,528,3277
691,524,3406
715,524,3406
739,524,3406
748,514,3341
757,505,3277
779,505,3277
787,495,3216
802,491,3186
825,491,3186
847,491,3186
944,519,3373
698,506,3440
715,501,3406
739,501,3406
755,496,3373
757,482,3277
772,477,3246
780,468,3186
802,468,3186
817,464,3157
839,464,3157
878,473,3216
926,486,3309
715,477,3406
739,477,3406
748,468,3341
757,459,3277
765,450,3216
780,446,3186
802,446,3186
817,442,3157
839,442,3157
869,446,3186
900,450,3216
715,453,3406
739,453,3406
741,440,3309
749,432,3246
758,424,3186
780,424,3186
795,420,3157
817,420,3157
839,420,3157
861,420,3157
884,420,3157
722,433,3440
731,425,3373
734,413,3277
749,409,3246
758,401,3186
780,401,3186
795,398,3157
817,398,3157
839,398,3157
861,398,3157
884,398,3157
898,394,3129
698,409,3440
715,405,3406
731,401,3373
734,390,3277
749,386,3246
765,383,3216
780,379,3186
795,376,3157
817,376,3157
839,376,3157
854,372,3129
876,372,3129
890,369,3101
691,381,3406
715,381,3406
718,370,3309
741,370,3309
757,367,3277
765,360,3216
780,357,3186
795,353,3157
810,350,3129
824,347,3101
846,347,3101
868,347,3101
881,344,3073
911,347,3101
691,357,3406
708,354,3373
718,347,3309
734,344,3277
757,344,3277
772,341,3246
780,334,3186
795,331,3157
810,328,3129
832,328,3129
846,325,3101
860,322,3073
881,322,3073
903,322,3073
925,322,3073
691,334,3406
708,330,3373
718,324,3309
734,321,3277
749,318,3246
772,318,3246
787,315,3216
795,309,3157
810,306,3129
832,306,3129
846,304,3101
860,301,3073
881,301,3073
903,301,3073
916,298,3046
938,298,3046
698,313,3440
708,307,3373
711,298,3277
734,298,3277
757,298,3277
772,295,3246
787,292,3216
795,287,3157
817,287,3157
832,284,3129
838,279,3073
852,277,3046
874,277,3046
895,277,3046
916,277,3046
938,277,3046
691,286,3406
715,286,3406
718,278,3309
734,275,3277
757,275,3277
779,275,3277
787,270,3216
795,265,3157
817,265,3157
832,263,3129
838,258,3073
852,256,3046
874,256,3046
895,256,3046
916,256,3046
946,258,3073
691,262,3406
701,257,3341
718,255,3309
734,252,3277
757,252,3277
779,252,3277
787,247,3216
802,245,3186
817,243,3157
832,241,3129
838,236,3073
860,236,3073
874,234,3046
895,234,3046
916,234,3046
938,234,3046
684,236,3373
701,234,3341
718,231,3309
734,229,3277
764,231,3309
779,229,3277
795,227,3246
810,225,3216
825,223,3186
839,221,3157
838,215,3073
852,213,3046
881,215,3073
903,215,3073
916,213,3046
938,213,3046
691,214,3406
708,212,3373
718,208,3309
741,208,3309
757,206,3277
779,206,3277
802,206,3277
818,204,3246
825,200,3186
832,197,3129
838,193,3073
860,193,3073
881,193,3073
903,193,3073
916,192,3046
695,198,3546
705,194,3475
708,189,3373
725,187,3341
741,185,3309
764,185,3309
779,183,3277
802,183,3277
818,181,3246
817,176,3157
824,173,3101
838,172,3073
860,172,3073
881,172,3073
903,172,3073
933,173,3101
608,177,3621
627,175,3583
652,175,3583
709,177,3621
712,172,3510
708,165,3373
718,162,3309
734,160,3277
757,160,3277
779,160,3277
802,160,3277
818,159,3246
810,153,3129
817,150,3073
846,152,3101
868,152,3101
890,152,3101
936,156,3186
977,159,3246
589,153,3659
614,153,3659
633,152,3621
652,150,3583
691,153,3659
709,152,3621
712,147,3510
708,141,3373
725,140,3341
741,139,3309
757,137,3277
779,137,3277
787,135,3216
795,132,3157
810,131,3129
824,130,3101
846,130,3101
876,131,3129
906,132,3157
945,135,3216
977,136,3246
589,128,3659
614,128,3659
627,125,3583
652,125,3583
684,126,3621
709,126,3621
705,121,3475
715,119,3406
725,117,3341
741,115,3309
757,114,3277
772,113,3246
780,111,3186
795,110,3157
810,109,3129
832,109,3129
861,110,3157
884,110,3157
914,111,3186
945,112,3216
986,114,3277
576,100,3583
608,101,3621
633,101,3621
659,101,3621
691,102,3659
717,102,3659
719,99,3546
708,94,3373
718,92,3309
734,91,3277
742,90,3216
758,89,3186
773,88,3157
795,88,3157
817,88,3157
847,89,3186
869,89,3186
892,89,3186
914,89,3186
945,90,3216
986,91,3277
640,76,3659
665,76,3659
691,76,3659
717,76,3659
705,73,3475
694,69,3309
711,68,3277
720,67,3216
736,66,3186
758,66,3186
780,66,3186
802,66,3186
825,66,3186
847,66,3186
869,66,3186
892,66,3186
914,66,3186
945,67,3216
977,68,3246
659,50,3621
691,47,3406
694,46,3309
711,45,3277
720,45,3216
736,44,3186
765,45,3216
787,45,3216
802,44,3186
825,44,3186
847,44,3186
869,44,3186
892,44,3186
914,44,3186
945,45,3216
977,45,3246
698,24,3440
701,23,3341
718,23,3309
727,22,3246
749,22,3246
779,22,3277
795,22,3246
802,22,3186
832,22,3216
847,22,3186
869,22,3186
892,22,3186
914,22,3186
954,22,3246
977,22,3246
705,0,3475
708,0,3373
718,0,3309
734,0,3277
757,0,3277
779,0,3277
795,0,3246
810,0,3216
832,0,3216
855,0,3216
878,0,3216
892,0,3186
923,0,3216
954,0,3246
968,0,3216
701,-24,3341
718,-24,3309
741,-24,3309
757,-23,3277
779,-23,3277
795,-23,3246
818,-23,3246
825,-23,3186
847,-23,3186
869,-23,3186
900,-23,3216
923,-23,3216
945,-23,3216
977,-23,3246
671,-47,3309
694,-47,3309
718,-47,3309
734,-46,3277
757,-46,3277
772,-46,3246
802,-46,3277
810,-46,3216
825,-45,3186
847,-45,3186
878,-46,3216
900,-46,3216
931,-46,3246
954,-46,3246
996,-47,3309
671,-70,3309
694,-70,3309
711,-69,3277
734,-69,3277
749,-69,3246
772,-69,3246
795,-69,3246
810,-68,3216
825,-67,3186
855,-68,3216
886,-69,3246
908,-69,3246
931,-69,3246
954,-69,3246
671,-93,3309
688,-92,3277
711,-92,3277
734,-92,3277
749,-91,3246
772,-91,3246
795,-91,3246
810,-91,3216
825,-90,3186
855,-91,3216
886,-91,3246
908,-91,3246
931,-91,3246
963,-92,3277
648,-116,3309
671,-116,3309
688,-115,3277
711,-115,3277
734,-115,3277
749,-114,3246
772,-114,3246
795,-114,3246
810,-113,3216
825,-112,3186
855,-113,3216
886,-114,3246
908,-114,3246
940,-115,3277
619,-138,3277
642,-138,3277
665,-138,3277
688,-138,3277
711,-138,3277
734,-138,3277
749,-137,3246
772,-137,3246
795,-137,3246
810,-136,3216
832,-136,3216
863,-137,3246
894,-138,3277
917,-138,3277
940,-138,3277
631,-164,3341
648,-163,3309
665,-161,3277
688,-161,3277
711,-161,3277
727,-160,3246
742,-158,3216
765,-158,3216
795,-160,3246
810,-158,3216
832,-158,3216
863,-160,3246
894,-161,3277
917,-161,3277
631,-188,3341
648,-186,3309
665,-184,3277
681,-182,3246
697,-181,3216
720,-181,3216
742,-181,3216
772,-182,3246
795,-182,3246
810,-181,3216
840,-182,3246
863,-182,3246
894,-184,3277
917,-184,3277
596,-207,3277
625,-209,3309
642,-207,3277
658,-205,3246
675,-203,3216
697,-203,3216
720,-203,3216
742,-203,3216
772,-205,3246
795,-205,3246
810,-203,3216
840,-205,3246
871,-207,3277
903,-209,3309
602,-232,3309
619,-230,3277
642,-230,3277
652,-226,3216
675,-226,3216
697,-226,3216
727,-228,3246
742,-226,3216
758,-224,3186
787,-226,3216
810,-226,3216
832,-226,3216
871,-230,3277
894,-230,3277
596,-253,3277
619,-253,3277
636,-251,3246
652,-248,3216
675,-248,3216
697,-248,3216
720,-248,3216
742,-248,3216
758,-246,3186
787,-248,3216
818,-251,3246
840,-251,3246
871,-253,3277
894,-253,3277
596,-276,3277
619,-276,3277
636,-273,3246
652,-271,3216
675,-271,3216
697,-271,3216
720,-271,3216
742,-271,3216
765,-271,3216
787,-271,3216
818,-273,3246
848,-276,3277
871,-276,3277
920,-284,3373
602,-302,3309
625,-302,3309
636,-296,3246
652,-293,3216
675,-293,3216
697,-293,3216
727,-296,3246
742,-293,3216
765,-293,3216
787,-293,3216
810,-293,3216
848,-299,3277
880,-302,3309
613,-331,3373
625,-325,3309
636,-319,3246
652,-316,3216
675,-316,3216
697,-316,3216
720,-316,3216
742,-316,3216
765,-316,3216
787,-316,3216
818,-319,3246
857,-325,3309
897,-331,3373
613,-355,3373
625,-348,3309
642,-345,3277
658,-342,3246
